Title,Company,City,State,Description
Data Scientist,"Quest Analytics, LLC",Overland Park, Kansas,"Quest Analytics is one of the fastest growing companies n the Healthcare software space in the US. Healthcare providers and insurance companies rely on our software. We do the important work of providing access to healthcare for all Americans!We are growing and looking for a Data Scientist to join our team in either Overland Park, KS or on a remote basis. This Data Scientist will provide support to the team that is responsible for managing and mastering the healthcare provider data used to measure the accuracy, adequacy, and accessibility of health plan networks.  The right candidate will help Quest discover high value insights and information hidden in vast, complex data that can be applied to solving business problems and building better products. Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our products.In This Role You WillSelecting features, building and optimizing classifiers using machine learning techniquesData mining using state-of-the-art methodsExtending company’s data with third party sources of information when neededEnhancing data collection procedures to include information that is relevant for building analytic systemsProcessing, cleansing, and verifying the integrity of data used for analysisDoing ad-hoc analysis and presenting results in a clear mannerCreating automated anomaly detection systems and constant tracking of its performanceEvaluate existing algorithms using various technique such as intrusion detectionDevelop metrics for evaluating internal and external data sourcesWhat We Are Looking ForMaster’s degree in data scienceA minimum of 2 years’ experience in a data science position requiredExcellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, regression, classification, natural language processing, association rule learning, intrusion detection models, etc.Intermediate to advanced Python (knowledge of data frames)Intermediate to advanced experience with Spark and ScalaIntermediate SQLGreat communication skillsGood applied statistics skills, such as statistical testing, distribution estimation, regression, etc.Good scripting and programming skillsData-oriented personalityExperience with healthcare data a plusExcellent troubleshooting, listening and problem-solving skillsWe are not currently engaging with outside agencies on this role.Ready to Evolve?We want smart, driven individuals to help us create Quest Analytics future. If you invest yourself in your work, live with enthusiasm, and thrive on results, we want to know you.What's In It For YouGreat Benefit Package With100% paid HDHP Health plan, Dental, Vision for Employee tier and cost sharing for all other tiersCompany matching on 401(k) and HSA contributionsGenerous PTO and 9 Paid HolidaysLife, Short and Long Term DisabilityPaid maternity / paternity and much moreFlexible work arrangements so you can balance work/lifeCompetitive salary and success sharing bonusOpportunity to get in on ground floor and grow & learn as the company growsWork in a fun, flexible, casual environmentAbility to telecommute when neededPlus, the free gourmet coffee to fuel the brainpower necessary to conquer your goalsFree drinks & snacksApply TODAY!Visa sponsorship is not available at this time.Quest Analytics provides equal employment opportunities to all people without regard to race, color, religion, sex, national origin, ancestry, marital status, veteran status, age, disability, sexual orientation or gender identity or expression or any other legally protected category.Applicants must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire."
Data Engineer,"U.S. Xpress, Inc.",Atlanta, Georgia,"Who we are:At Ventures, we are innovators. We are developing cutting-edge technology and pushing the envelope to bring unmatched quality to our drivers and customers. We believe in having fun while working hard in our fast-paced, innovative environment and appreciate the value of collaboration and the spirit of teamwork. Be part of an organization providing unparalleled service to our customers by joining our talented team today.What’s in it for me:Right Role. Right Tools. Right People. We invest in our talent starting on day one. You will be provided with personal and professional development opportunities that complement your interests and encourage you to build a career you’re passionate about. Whether it is employee stock options, profit-sharing, 401K, professional development, or our competitive pay, we help prepare you for the future. Be part of an organization that values out-of-the-box thinking and rewards employees for going above and beyond. Curious about the other benefits of working with us? Check out our perks below!What you’ll doThe data engineer will work with new and legacy systems to lead the way for high-quality decisions. The data engineer will be the subject matter expert and go to person for systems integration questions, coding, and be an integral part of building an optimal systemDuties & ResponsibilitiesDevelop robust, scalable solutions for collecting & analyzing large data sets. Must be proficient in creating & maintaining data pipelines.Proficiency in developing packages, stored procedures, functions, triggers, and complex SQL statements.Experience with ETL tools (such as Informatica)Design logical data models and their physical schema design.Some experience programming in Java & Python. Big data knowledge is a plusExperience with Git and/or bitbucket is a plus.Ability to work with multiple data sources and types (structured/semi-structured/unstructured)Cloud experience (AWS/Azure/Google)Shift informationMonday- Friday 8am – 5pm (Flexible)What we’re looking forEducationBachelors or Master’s Degree in Computer Science, Information Systems, or a related field.ExperienceDevelop robust, scalable solutions for collecting & analyzing large data sets. Must be proficient in creating & maintaining data pipelines.Proficiency in developing packages, stored procedures, functions, triggers, and complex SQL statements.Experience with ETL tools (such as Informatica)Design logical data models and their physical schema design.Some experience programming in Java & Python. Big data knowledge is a plusExperience with Git and/or bitbucket is a plus.Ability to work with multiple data sources and types (structured/semi-structured/unstructured)Cloud experience (AWS/Azure/Google)Skills/CertificationsHigh level expertise with SQL. Graph database experience is highly desired.Partner with Data Owners to design solutions that align to data governance and data management principles best practices.Data Visualization with PowerBI / Tableau / QlikView or equivalent is a plusAbility to work in a fast-paced, agile and dynamic environment with both virtual and face-to-face interactions.Strong collaborative mindset, good judgment with great interpersonal skills required to help solve complex business problems. Supervisory Responsibility: noneWork Environment / Physical Requirements – Normal office settings.Employees are required to maintain proper attendance and punctuality to ensure that the department is operated in an efficient and cost-effective manner. Unless otherwise noted, the position requires work on an USX site or USX customer location site while performing the essential functions of this position.This job description indicates the general nature and level of work expected for this position. It is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities. Employees performing this job may be asked to perform other duties as required and the responsibilities of the position may change. Reasonable accommodations will be made to enable individuals with disabilities to perform the essential functions.U.S. Xpress is an Equal Opportunity Employer committed to creating and maintaining a diverse workforce."
Data Science Lead,Bristol Myers Squibb,Princeton, New Jersey,"Bristol-Myers Squibb is a global Biopharma company committed to a single mission to discover, develop, and deliver innovative medicines focused on helping millions of patients around the world in disease areas such as oncology, cardiovascular, immunoscience and fibrosis.Join us and make a difference. We hire the best people and provide them with a work environment that places a premium on diversity, integrity, collaboration and personal development. Through a culture of inclusion, we create a better, more productive work environment. We believe that the diverse experiences and perspectives of all our employees help to drive innovation and transformative business results.The Data Sciences Lead Programmer uses the SAS programming language and other software to integrate data from diverse sources for pharmacometric analyses in support of regulatory filings and internal decisions. The individual will prepare analysis data sets for use by pharmacometric modeling experts, and produce tables, listings, and figures, and assist in the preparation of pharmacometric reports and esubmission datasets with the support of other subject matter experts.Leading programmers and applying expert knowledge of SAS to integrate clinical data and pharmacokinetic data to prepare analysis datasets for pharmacometric analysis in NONMEM and other modeling toolsImplement sophisticated algorithms to derive complex data sets, and address data issuesDemonstrate very strong attention to quality and detail and the ability to detect data anomaliesEmploy Spotfire visualization software, and optimize the effective utilization and benefits of SpotfireAttain and apply solid knowledge of pharmacokinetics, pharmacodynamics, and other scientific areas to partner with experts in order to integrate data sources efficiently and effectivelyPrepare tables, listings, and figures, and assist in the preparation of pharmacometric reports, for filing with health authorities and responses to queries from health authoritiesDevelop and maintain competence in UNIX, Spotfire, R, Python and various Linux/UNIX tools including bashWill use python to develop applications that bring efficiency to processesInteract with internal and external partners utilizing excellent interpersonal and communication skillsDevelop innovative technologies to improve workflowsMentor junior programmers in the group.Bachelor's degree in engineering, science, computer science, mathematics, or statisticsExcellent SAS programming language skills, especially the SAS DATA step and those PROCs necessary to manipulate dataAt least four years experience in preparing SAS data sets for analysisAt least two years experience preparing SAS data sets for pharmacometric analysis in NONMEM, NLME, or WinNonLinSolid understanding of pharmacokinetic data, clinical data, NONMEM concepts and data issues with programming NONMEM data sets.Ability to implement sophisticated algorithms to derive complex data sets and address data issues.At least 5 years of industry experience in preparing SAS data sets for analysis.Very strong attention to quality and detail, and the ability to detect data anomalies.Excellent interpersonal and communication skills.SAS certified Clinical Trial Programmer for SAS 9.0SAS certified Base Programmer for SAS 9.0Skill with R.Master's in engineering, science, computer science, mathematics, or statistics.Competence in UNIX or Linux, and skill with bash scripting and UNIX filters.Familiarity with principles of quality control and the validation of computer programs.Bristol-Myers Squibb recognizes the importance of balance and flexibility in our work environment. We offer a wide variety of competitive benefits, services and programs that provide our employees the resources to pursue their goals, both at work and in their personal lives."
Python Developer (Data Engineer) - FinTech - Manhattan,EC1 Partners Ltd,New York City,New York,"SummaryEC1 Partners is supporting a leading, data driven, FinTech company in their search for a Python Developer to join their Data Science team. The data team creates products that play a critical role in their client's investment decisions, by leveraging technology and advanced analytical methods to organize, analyze, evaluate and discover new insights.You will be responsible for testing, monitoring, and improving the firms data collection programs, as well as developing new software to capture data from the web and extract insights from third-party sources. You’ll be writing Python scripts deployed on AWS, and communicating with their team of data scientists and infrastructure engineers. Qualifications  Bachelors Degree in Computer Science or Mathematics3+ years of professional experience using PythonStrong understanding of Python data structures and best practices Exposure to low-latency highly scalable platformsCore knowledge of Data Structures, Algorithims and System DesignProfessional experience with a SQL-based database, such as MySQL Understanding of HTTP network requests and responses Understanding of HTML, XML, and JSON formats Debugging experience Ability to write technical documentation and comment codeExperience writing test suites and setting up automation environments Experience with AWSHands on experience with Linux (Ubuntu/CentOS) Prior Investment/FinTech experience is not required but would be a major plus"
Data Scientist - I,eTeam,Houston, Texas,"Duration: 3- 6 months (CTH)Locations: Houston, TX, Bentonville, AK, and Miami, FLJob DescriptionWe are looking for a Data Scientist who can analyze data and draw valuable insights. An ideal candidate would be someone who is adept at data mining/data analysis methods, flexible to use a wide variety of data tools, build and develop models, use and create new algorithms for the use case. All this must translate into driving business results with data-based insights.ResponsibilitiesWork with key business stakeholders to identify opportunities for leveraging data to drive business solutionsData cleanup/processing of structured and unstructured dataAnalyze large amounts of information to Client trends and patternsBuild predictive models and machine-learning algorithmsCombine models through ensemble modelingPresent information to the client stakeholders using data visualization techniquesPropose solutions and strategies to business challengesCollaborate with engineering and product development teamsMentor a group of junior data scientists/analystsSkillsAnalytical & problem-solving skillsMultivariable Calculus & Linear AlgebraStatisticsMachine LearningData Visualization & CommunicationSoftware EngineeringProgramming SkillsPython/R for Data ScienceCassandraMongo DBCreating Machine Learning model"
Data Scientist Consultant (Only USC & GC),SonSoft Inc.,Newark, New Jersey,"Company DescriptionSonSoft Inc. is a USA based corporation duly organized under the laws of the Commonwealth of Georgia. SonSoft Inc is growing at a steady pace specializing in the fields of Software Development, Software Consultancy, and Information Technology Enabled Services.Job DescriptionAs a Data Scientist, you solve complex challenges and identify new opportunities using a combination of analytical expertise, business acumen, strategic thinking, and project and relationship management skills. This is an exciting opportunity to be a part of a new strategic initiative & this position is located in Newark, N.J., a quick, easy 15-minute train ride fromNew York Penn Station. Occasional domestic travel may be required.Responsibilities:-Integrate and mine large data sets, connecting data from disparate sources to identify insights and patterns using predictive and prescriptive analytics, and machine learning techniquesConduct intermediate and advanced statistical analysis, such as linear regression, ANOVA, time-series analysis, classification models, neural networks, decision trees, as well as analysis of unstructured data (e.g., social media listening, digital footprints, speech analytics)Prepare and present written and verbal reports, findings, and presentations to key stakeholders, distilling complex statistical information into easy-to-understand business languageApply knowledge of U.S. businesses and corporate groups and relevant industry knowledge to analysis and insightsManage project budgets and timelines, ensuring times and on-budget completion.QualificationsExperience analyzing large data sets using statistical software, such as SAS, R, Python, and SPSS, to discover new business insightsExcel and PowerPoint a must. SQL Programming and experience of at least one DBMS such as IBM DB2, Oracle, SQL Server or Sybase are required. Java strongly desiredPrior experience with building models, analyzing unstructured data, and/or machine learningRelevant academic experience and work experience in Statistics, with exposure to data structures and data visualizationMaster's degree in Mathematics, Statistics, Engineering, Computer Science, or a quantitative discipline plus a minimum of 2-3 years of work experience, or bachelor's degree plus 5 years work experienceWell-developed written and oral communication skills, with ability to present and explain data to business managerStrong project management skills / experience managing projects, budgets, and schedules to successful completionSome prior exposure to financial services or insurance industry desiredAdditional InformationConnect with me at ( For Direct Clients Requirements )U.S. Citizens and those who are authorized to work independently in the United States are encouraged to apply. We are unable to sponsor at this time.Note:-This is a Full-Time & Permanent job opportunity for you.Only US Citizen , Green Card Holder , GC-EAD , H4-EAD & L2-EAD can apply.No OPT-EAD, H1B & TN candidates , please.Please mention your Visa Status in your email or resume .All your information will be kept confidential according to EEO guidelines."
Python Developer,"Sky Solutions, LLC",Baltimore, Maryland,Job DescriptionRequired Qualifications:Minimum of 2-4 years of experience with Python developmentHands-on experience with Numpy and Pandas Data science librariesExperience with version control: Git and code deployments to multiple environmentsAsynchronous programmingFamiliarity with distributed data processingExperience with API DevelopmentPreferred QualificationsSQL and NoSQLGRPCWorking in AWSExperience building reusable artifactsExperience working with large financial data sets
Analytics Specialist,William Hill,Jersey City, New Jersey,"As Analytics Specialist at William Hill US, you’ll drive smarter omni-channel customer marketing decisions through both technical and analytical support. By designing, implementing, and monitoring tracking protocols you’ll ensure our team has the data & insights to execute best-in-class customer marketing programs. Additionally, as the day-to-day expert on marketing data, you’ll be responsible for collaborating with the BI team to deliver performance reporting that drives continuous improvement of our customer, channel, and campaign-level insights capabilities. We are looking for someone to manage, grow, and optimize our portfolio of reports, dashboards, and ad-hoc analyses. The ideal candidate will provide analytical support that will continually help define success and growth for the organization.Did you know…1 out of every 4 sports bets made in the US today are placed with William Hill?William Hill has been in business for 86 years and is now in every state that allows legal sports betting in the US?William Hill is an official partner of the NBA and the Washington Wizards; the NHL and the New Jersey Devils, Washington Capitals and the Vegas Golden Knights; Monumental Sports & Entertainment and the Washington Mystics?What You Will Be DoingDefine and implement Google Analytics configuration, reports, and tagging strategy to deliver metric based insights.Build, develop and maintain data models, reporting systems, data automation systems, dashboards and performance metrics support that support key business decisions.Develop and deploy analytics reports and dashboards to analyze and provide recommendations to improve performance and KPIs.Conduct in-depth analyses to improve customer acquisition, channel, and campaign performance.Work with marketing, operations, and product technology teams to ensure all reporting and insights are clear, actionable, and help support individualized strategies.Work alongside data science and engineering teams to examine and develop new audience data sources and create ongoing efficiencies within key BI tools, such as PowerBI, Snowflake, and Google Analytics.Support team excellence by documenting processes and evangelizing new approaches.Evangelize the importance of data and strong processes throughout organization.What You Will Need3-4 years of experience analyzing, interpreting, and visualizing data into clean, clear, and digestible dashboards and reports.Experience with Web Analytics (Google Analytics), BI tools (PowerBI), and databases (Snowflake).Experience writing advanced analytics code statements, models, and macros.Experience debugging data issues in analytics tools including the ability to inspect the page behavior and understand the events being triggered.Understanding of and experience using analytical concepts and statistical techniques: hypothesis development, designing tests/experiments, analyzing data, drawing conclusions, and developing actionable recommendations for business units.Strong communication skills and capable of building strong relationships with colleagues and explaining complex topics in simple and influential terms.Ability to develop analyses to address ambiguous questions.Experience using analytics techniques to contribute to company growth efforts, increasing revenue and other key business outcomes.Strong problem solving, quantitative and analytical abilities.Essential Functions/ExposuresMust be able to sit for extended periods of timeMust be able to type for extended periods of timeMust be able to write for extended periods of timeRegular attendance in the officeWilliam Hill provides equal employment opportunities (EEO) to all employees andapplicants for employment without regard to race, color, religion, creed, national origin,ancestry, sex, age, physical or mental disability, pregnancy, veteran or military status,genetic information, sexual orientation, gender identity or expression, marital status, civilunion/domestic partnership status, familial status, domestic violence victim status, orany other legally-recognized protected basis under federal, state or local laws. WilliamHill complies with applicable federal, state and local laws governing nondiscrimination inemployment in every location in which the company has facilities. This policy applies toall terms and conditions of employment, including recruiting, hiring, placement,promotion, termination, layoff, recall, transfer, leaves of absence, compensation, andtraining."
Data Analyst,Comlinkdata,Boston,Massachusetts,"Data AnalystReports to: VP of Data OperationsLocation: Boston, MAComlinkdata is seeking a quantitative, critical thinker with an insatiable curiosity to join the Data Operations team as a Data Analyst. The Data Operations team is a critical component of Comlinkdata. They ensure our data is validated, the platform is working correctly and they explore opportunities to leverage new data sets to improve and create new products.The Data Analyst will support the Data Operations team by gathering data, analyzing ad hoc reports, providing quality assurance and working jointly with the Client Services team to investigate data abnormalities. This candidate should be interested in working with large data sets in an “R&D skunkworks,” product development environment.ResponsibilitiesIncluding, but not limited to:Analyze and interpret data using statistical and business modelsIdentify correlations and trends in data, in addition to internal and external factors that could affect the results of our informationProvide input on how to integrate additional data sets from independent sources we can use to leverage our existing dataCollaborate with colleagues on ad hoc projects within the data science teams (Data ops and R&D)Validate data daily using external data and research (quantitative and qualitative)Troubleshoot data issuesCandidate ProfileRequired Skills3-5 years of work experience (or comparable educational experience) in quantitative analysisProficient in Excel and SQLExperience business and statistical modelingStrong critical thinking and problem solving skillsCreative and independent thinker with a desire to learn new technical skillsSuccess at working on cross-functional teams to meet a common goalSelf-starter with a high sense of urgencyAbility to prioritize in a multitask environmentDesired SkillsKnowledge of PYTHON and VB a plus (or willing to learn)Knowledge of R, S-Plus, SAS, Stata, Gauss or Matlab a plus (or willing to learn)"
"Data Scientist, Radar",Stripe,Seattle, Washington,"We’re looking for data scientists to join the Data Science team who are excited about applying their analytical skills to understand our users and influence decision making. If you are naturally data curious, excited about deriving insights from data, and motivated by having impact on the business, we want to hear from you.You’ll be working closely with the Radar team, the product team responsible for optimizing each of the billions of dollars of transactions processed by Stripe each year on behalf of our users, in order to maximize successful transactions while minimizing fraud. You’ll be influencing the product and decision making across the technical stack: from machine learning over our users’ data, to integrating ML intelligence and serving real-time predictions as part of Stripe’s payment infrastructure, to building user-facing product surfaces like dashboards and controls.You WillWork closely with product and business teams to identify important questions and answer them with data.Apply statistical and econometric models on large datasets to: i) measure results and outcomes, ii) identify causal impact and attribution, iii) predict future performance of users or products.Design, analyze, and interpret the results of experiments.Drive the collection of new data and the refinement of existing data sources.Create analyses that tell a “story” focused on insights, not just data.We’re Looking For Someone With4+ years experience working with and analyzing large data sets to solve problems.A PhD or MS in a quantitative field (e.g., Economics, Statistics, Eng, Natural Sciences, CS).Expert knowledge of a scientific computing language (such as R or Python) and SQL.Strong knowledge of statistics and experimental design.Ability to communicate results clearly and a focus on driving impact.Nice To HavesExperience working with a user-facing product teamPrior experience with data-distributed tools (Scalding, Hadoop, Pig, etc).You Should Include These In Your ApplicationResume and LinkedIn profile.Description of the most interesting data analysis you’ve done, key findings, and its impact.Link to or attachment of code you’ve written related to data analysis."
Data Science Analyst,Leidos,McLean, Virginia,"DescriptionJob Description:We have an exciting opportunity for a Data Science Support Analyst to support a client’s requirements in a challenging, dynamic setting located in the Washington Metropolitan Area. The position is for the Pathfinder contract. This Analyst will be responsible for constructing scripts and configuration controls to facilitate analysts performing repeatable complex database queries in multiple databases. This Analyst will be responsible for creating automated-scripting to assist analysts with data discovery. The Analyst will be required to work both independently and collaboratively with teams to create solutions in support of the customer.Requirements3 to 10 years of experience is requiredBA/BS degree is required. However, 6 years of work experience may be substitutedfor a Bachelor's degreeKnowledge of IC mission, organizations, policies, procedures, and requirementsExperience in IC related data science research and analysisExperience supporting complex data science and analytic projectsExperience/knowledge of computer science concepts including programming, statistics, data architecture, and data analyticsSkill and experience in programming, statistics, and/or data architectureExperience with quantitative and qualitative content analyticsExperience constructing and performing complex database search queries across multiple databasesTS/SCI with Polygraph security clearance is requiredExternal Referral BonusEligiblePotential For TeleworkNoClearance Level RequiredTop Secret/SCI with PolygraphTravelNoScheduled Weekly Hours40ShiftDayRequisition CategoryProfessionalJob FamilySoftware DevelopmentLeidos is a Fortune 500® information technology, engineering, and science solutions and services leader working to solve the world's toughest challenges in the defense, intelligence, homeland security, civil, and health markets. The company's 33,000 employees support vital missions for government and commercial customers. Headquartered in Reston, Virginia, Leidos reported annual revenues of approximately $10.19 billion for the fiscal year ended December 28, 2018. For more information, visit www.Leidos.com.Pay and benefits are fundamental to any career decision. That's why we craft compensation packages that reflect the importance of the work we do for our customers. Employment benefits include competitive compensation, Health and Wellness programs, Income Protection, Paid Leave and Retirement. More details are available here.Leidos will never ask you to provide payment-related information at any part of the employment application process. And Leidos will communicate with you only through emails that are sent from a Leidos.com email address. If you receive an email purporting to be from Leidos that asks for payment-related information or any other personal information, please report the email to spam.leidos@leidos.com.All qualified applicants will receive consideration for employment without regard to sex, race, ethnicity, age, national origin, citizenship, religion, physical or mental disability, medical condition, genetic information, pregnancy, family structure, marital status, ancestry, domestic partner status, sexual orientation, gender identity or expression, veteran or military status, or any other basis prohibited by law. Leidos will also consider for employment qualified applicants with criminal histories consistent with relevant laws."
Research Scientist,Raytheon Technologies,Virginia, Minnesota,"Sixty years ago, BBN Technologies (BBN) played a central role in creating ARPANet, the forerunner of the modern Internet. oration,, BBN continues to be the nation's premier research institution for advanced technologies applied to defense and national security problems. For its leadership in artificial intelligence, networking, cyber, quantum computing, and other fields, BBN was awarded the 2011 Presidential National Medal of Technology and Innovation “for sustained innovation through the engineering of first-of-a-kind, practical systems”. BBN is committed to excellence via inclusiveness, collegiality and employee life balance; many BBNers have built long-lasting, impactful careers with the company.Who We AreLocated in Arlington, VA, near downtown Washington, DC, BBN's Information Exploitation (IX) group performs cutting edge research for leading government agencies, solving problems that are both technically challenging and have a real operational impact. The IX group has worked on a variety of exciting prototype and operational systems:Scalable symbolic and probabilistic reasonersFake news analysisNetwork inference from data, including causal and logistics networksProbabilistic state assessment from observations and action/collection decision optimizationEntity disambiguation and co-reference resolution using vector embeddings learned from dataApplying geospatial, temporal, and semantic context to big-data analysisWhat You Will DoWe are looking for scientists interested in integrating traditionally separated AI fields of machine reasoning and machine learning. The ideal candidate will have research experience in any of the following technology areas: machine reasoning, machine learning, semantic web, and data science / analytics. You will be working on challenges including:Researching novel machine reasoning and learning algorithms and solutions to complex, open-ended intelligence problems.What You Will GainHands on experience with tough, real-world analysis problemsResearch experience improving and extending cutting edge methodsHighly marketable security clearanceWhat You NeedPhD in an AI-relevant field, or MS in an AI-relevant field and 2 years of experienceProficiency in one or more of Java, Python, or Prolog, and associated software development ecosystemsPosition may require some amount of overnight travel.Willingness to apply and be granted a US Government security clearance. US citizenship required.Additional Skills That Would Be Awesome2-3 years of related research experience and publications in one of the technical areas mentioned aboveNew PhD graduates are strongly encouraged to applyExperience with machine reasoning technologies such as logic programming, ontological reasoning, probabilistic reasoning and othersExperience with machine learning technologies such as deep learning, embeddings, and othersExperience with semantic web (RDF/OWL/SPARQL) and data analytics technologiesWhy UsOur team members are passionate about growth, innovation and collaboration. We are constantly striving to improve and better ourselves so that we can better support our clients. If you have a growth mindset and you thrive under pressure, Come Join Our Team!We offer outstanding benefits that include flexible work schedules, a competitive 401k company match, a Retirement Contribution plan, performance based incentive, paid parental leave, paid time off, and many other employee discounts.This position requires the eligibility to obtain a security clearance. Except in rare circumstances, only U.S. citizens are eligible for a security clearance.160216Raytheon is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status."
Entry-Level Data Scientist,Rally Health,Minneapolis, Minnesota,"Join Rally Health as a Data Scientist where you will build models that explain user engagement to increase the impact of Rally products. You will also improve user health outcomes and help personalize the Rally experience. As part of the Data Science, you will report to the Data Science Manager and work with Product, Engineering, and other Data Scientists.You WillBuild interpretable models that predict user engagement and clinical relevance of Rally features and incentive plansWork with other data scientists, product managers, and engineers to build and explain the effect of models in productionWork with Product and Engineering to find new opportunities for predictive modeling and to improve health outcomesTell clear stories with data to show the effect Rally has on outcomes for users and clientsYou Have2+ years of experience using predictive models to power high impact customer-facing featuresProficiency with SQL and a scripting language (Python or R)Experience making sense of multiple data sources with data visualization and exploratory data analysisExperience building machine learning powered applications with Spark, MLlib, scikit-learn, TensorFlow, or other modern librariesMasters or above in a technical field or equivalent experienceRally Health™ is about putting health in the hands of the individual. It’s our mission, and it drives everything we do! With our easy-to-use online and mobile tools, we empower people and help them take charge of their health and health care. Improving their diet and fitness to selecting health benefits and choosing the right doctor at the right price for their needs.Our culture is built on a deep and sincere dedication to helping people live healthier lives. To do this, we are committed to improving at every level. We’re building digital tools that support people over their lifetime. Every day, we get to work with amazing people on something that directly impacts the lives of millions of people for the better.At Rally, we believe in the importance of communication and collaboration to ensure every opinion is valued. Rally knows that we are strongest when our employee population reflects the diversity of the world around us, and we are a place where all voices are valid. A diverse workforce enriches us with the talent, perspective and inspiration we need to achieve our mission. Everything we do is performed with our users in mind, so we make sure that all of our work has a human touch it needs.Our BenefitsResources to help you excel in our creative work atmosphere:Great compensation packageDaily onsite catered lunchesComprehensive benefits package for full-time employees, including medical, dental, vision coverage, and 401(k)Paid leave for new parentsWellness programs, including physical and mental health servicesFlexible paid time off for full-time employeesRally Health believes in a policy of equal employment and opportunity for all people. It is our policy to train and promote individuals in all job titles, and administer all programs, without regard to race, color, religion, national origin or ancestry, citizenship, sex, age, marital status, pregnancy, childbirth or related medical conditions, personal appearance, sexual orientation, gender identity or expression, family responsibilities, genetic information, disability, matriculation, political affiliation, veteran status, union affiliation, or any other category protected by applicable federal, state or local laws.Individuals with disabilities and veterans are encouraged to apply. Applicants who require an accommodation related to the application or review process should notify Talent Acquisition (recruiting@rallyhealth.com).Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
Data Scientist,NAVEX Global,Lake Oswego, Oregon,"It's fun to work in a company where people truly BELIEVE in what they're doing!We're committed to bringing passion and customer focus to the business.Thank you for your interest in NAVEX Global. At this time we are not actively hiring for the Data Scientist role, however, we encourage you to apply and join our Talent Network. We continue to prioritize engaging great people and look forward to learning more about you!Position Summary: As a Data Scientist, you will create innovative solutions to solve business problems by using real world solutions for decision making. Designing algorithms that solve business critical problems fo the world’s largest risk and compliance platform, your contributions make a material impact to the business culture. If you want to use cutting-edge machine learning techniques with technoloty that drives crucial decisins, this role is for you.We Offer You:An organization that is secure, growing and thriving with a reputation that we are proud to say is absolutely second to noneA workplace experience that is based on our determination to retain you each day and enables you to learn, grow and develop your career, and people dedicated to your success at every levelCompetitive pay with benefits that matter, including the time and flexibility to balance the multiple roles you play in lifeAccess to world’s largest data set in risk and compliance functionWhat You Will Do:Analyze large sets of transactional data to understand core domain behavior in the area of Risk and Compliance functionDesign, develop, and validate machine learning models, including to deploy, monitor, and maintain models in production.Statistical modellingExplore and extract features and patterns to improve model capabilityPrototype modeling strategies to train and optimize model performancePerform link analysis with Users, Cases, Policies and Procedures and Training in an enterprisePerform time series modeling to predict risk trendsIdentify possible problems with data or processes and helps remediateExtraction, curation and analysisData modeling and data transport pipelines to make data available for training and testing modelsDrive the determination of technology-driven product features and capabilitiesRecommendation on Language and library specification and help establish processes for a growing data science teamWhat You Will Need:Background in STEM with 2+ year experience as a data scientist with specialization in machine learning, statistical modeling and optimizationStrong knowledge in predictive modeling, statistics and data scienceExperience in machine learning including neural networks, reinforcement learning, adversarial learning, etc.Desired experience in visualization tools such as ggplot, d3.js and Matplottlib, and TableauProficiency in one or multiple data science programming languages such as R, Python and SparkDatabase design and sql queries to extract dataAbility to communicate with both business and technical leadersProficiency in collecting and mining data from disparate data sources, and willing to dig deeper and understand the process that creates the dataAbility to prioritize, execute and deliver projects on timeCapability to translate business opportunities into data science problems and define the correct project scope and performance metrics to measure successExperience working with agile development teams and processesExperience with change management, process improvement and project managementAbility to build consensus among different groups with competing demandsExperienced planning for the future, keeping abreast of new trends and technologies while managing day-to-day projectsA commitment to do the right things right NAVEX Global is an equal opportunity employer, including disability/vets.If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!"
